"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Dlf cyber city","Vegetarian / Vegan","Santushti",28.4951059,77.0921119,"4e43faaf18a8bafc628e1da9","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Dlf cyber city","null","Dlf cyber city"
"Prashant Vihar","Vegetarian / Vegan","Wah ji Wah",28.71592188,77.13373901,"4e7c6f3b899821573ce10fcb","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Prashant Vihar","null","Prashant Vihar"
"New Delhi","Vegetarian / Vegan","The Dhaba",28.6212635,77.44325256,"541a9ae0498eabfd771d0a56","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"New Delhi","Vegetarian / Vegan","Pindi Soya",28.631756,77.098293,"4fa40f51e4b0b487cd01a9f9","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Alaknanda","Vegetarian / Vegan","amritsari chole bhature",28.55299622,77.2641969,"515935cce4b0af515e0e9407","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Kalkaji Main Road","R-16 Nehru Enclave (Kalkaji Main Road)",110019,"R-16 Nehru Enclave"
"New Delhi","Vegetarian / Vegan","Veg",28.69609,77.140738,"4ff9e3cde4b033b23ca9230a","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Avantika","Vegetarian / Vegan","Kanha Rasoi",28.705551,77.106808,"563db592cd1044ad68a54071","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Sector -3, Rohini",110085,"Sector -3, Rohini"
"Distt. Court Complex  Saket   ","Vegetarian / Vegan","Chennai Dosa Corner",28.535631,77.212506,"51ab817b498e2598bf9042fa","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Main Market, Malvinas Nagar","90/31 A (Main Market, Malvinas Nagar)",110017,"90/31 A"
"Meena bazar","Vegetarian / Vegan","Premvati Rest",28.65152098,77.23931129,"4fe4b41be4b065cd6ebee352","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Meena bazar","null","Meena bazar"
"New Delhi","Vegetarian / Vegan","sabras",28.65378239,77.30273484,"4dd918148877f1151011a05f","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Ambience Mall","Fast Food","Haldiram's",28.50276451,77.09721696,"4d5f8ddc1939a35d08c216ee","New Delhi","Delhi","Fast Food Restaurant","Fast Food Restaurants","null","Ambience Mall","null","Ambience Mall"
"HUDA Market, Sector 23","Indian","Sagar Ratna",28.51036079,77.04857826,"51585837e4b0e3e0b01d2f0c","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","HUDA Market, Sector 23","null","HUDA Market, Sector 23"
"Delhi High Court","Caf�","Cafe Turtle",28.6001592,77.22723799,"4c72bd2d1b11199c351c5b13","New Delhi","Delhi","Caf�","Caf�s","null","2nd Flr., 23, Middle Lane, Khan Market",110003,"2nd Flr., 23, Middle Lane, Khan Market"
"Distt. Court Complex  Saket   ","Indian","Khan Chacha",28.52817038,77.21920724,"4f5c8cf6e4b086681c1463df","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Next to KFC","G 3, Select Citywalk Mall, District Centre, Saket (Next to KFC)",110017,"G 3, Select Citywalk Mall, District Centre, Saket"
"Gurugram 122001","Vegetarian / Vegan","SFG Spice Flame Grill",28.454067,77.051436,"5feb3f010985f93a58c8a540","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Gurugram 122001",122001,"null"
"Opp. Omax Hills, Surajkund- Badkal Road","Vegetarian / Vegan","wah hi wah, Omax Hills ,SurajKund -Badkal Road",28.460367,77.284631,"579f8a9c498ed629a9726bbd","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Opp. Omax Hills, Surajkund- Badkal Road","Web Ji Wah (Opp. Omax Hills, Surajkund- Badkal Road)",121003,"Web Ji Wah"
"New Delhi","Vegetarian / Vegan","Haldiram's",28.568306,77.219887,"529875bf11d280103dc75dd9","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Masood Pur","Vegetarian / Vegan","Sagar ratna",28.52522464,77.15564848,"4c0e649c336220a14019cc77","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Vasant Square Mall, Vasant Kunj",110070,"Vasant Square Mall, Vasant Kunj"
"Meerut Road","Vegetarian / Vegan","Marwari Bhoj",28.74841636,77.48959773,"4cb162631463a1432364a5a9","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Meerut Road","Murad Nagar, (Meerut Road)","null","Murad Nagar,"
"Main Road Kalkaji, Kalkaji","Vegetarian / Vegan","Safal",28.54013416,77.25867569,"4c7e5cb29221236a32d5813d","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Main Road Kalkaji, Kalkaji","null","Main Road Kalkaji, Kalkaji"
"New Delhi","Vegetarian / Vegan","a2b veg restaurant",28.64946,77.192281,"5757a258498ed6ec738cbfe2","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"New Delhi","Vegetarian / Vegan","Sanskriti",28.49448714,77.09231564,"4ee74ddc6c25be96330c86f4","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Kausambhi","Vegetarian / Vegan","kama",28.63678997,77.32818828,"51795221e4b00a1c9bff789a","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Kausambhi","Raddison BLU (Kausambhi)","null","Raddison BLU"
"Anand Parbat","Vegetarian / Vegan","Udipi",28.646674,77.189242,"5c7261853fffb4002573a1f8","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","New Delhi 110005",110005,"null"
"Gurugram 122022","Vegetarian / Vegan","Greenr",28.461388,77.04998,"5b60516f75dcb7002cdc0c27","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Gurugram 122022",122022,"null"
"Delhi Cantt","Vegetarian / Vegan","Pluck",28.5540869,77.1236177,"58a910f8a370b94d5a371816","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Pullman Hotel","null","Pullman Hotel"
"Vasant Vihar-1","Caf�","Greenr Cafe",28.557888,77.164546,"5c0a1ea45a2c91002c72a9c1","New Delhi","Delhi","Caf�","Caf�s","Vasant Vihar","SMR House (Vasant Vihar)",110057,"SMR House"
"Defence Colony","Indian","Sagar Ratna",28.57283888,77.23060369,"4c4e4a9afa9d9521593a400a","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","null","Defence Colony","null","Defence Colony"
"Gurgaon Road","Caf�","FabCaf�",28.552205,77.122001,"5c0209e3d1a402002c98d8de","New Delhi","Delhi","Caf�","Caf�s","null","Worldmark 3",110037,"Worldmark 3"
"Ground Floor, The Ashoka Hotel","Vegetarian / Vegan","Shraman",28.59738412,77.19573481,"5034ea8be4b0796bb6a0f8e2","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Ground Floor, The Ashoka Hotel","null","Ground Floor, The Ashoka Hotel"
